Price,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,
2024-06-14,78804.3828125,79695.38714078204,78210.37992697864,78903.38329342022,22926612
2024-06-17,77319.3828125,78705.3896746959,77220.38232234315,78408.38820422535,16123051
2024-06-18,79002.3828125,79398.38473135965,77814.37705592105,77913.37753563597,18207598
2024-06-19,80388.390625,81675.39687884852,79695.3872575431,80289.39014393474,24168863
2024-06-20,80784.390625,81378.39349724265,80388.38871017157,80685.39014629289,20288913
2024-06-21,79200.390625,79992.39453125,79200.390625,79893.39404296875,17907523
2024-06-24,79794.390625,80091.39207893921,78705.38529388959,78903.38626318239,15454227
2024-06-25,79992.390625,80982.39545946782,79299.38724087253,79794.38965810645,19088458
2024-06-26,80487.390625,80586.39110547355,79101.38389837023,79299.38485931735,17783242
2024-06-27,81144.703125,81144.703125,80050.84070542279,80846.37701056985,11739720
2024-06-28,81045.265625,81443.03379984663,80349.17131901841,81443.03379984663,9455929
2024-07-01,81343.5859375,81641.91204729523,80846.37575450794,81045.25982770477,11317202
2024-07-02,81343.5859375,82139.12223028728,81045.25982770477,82039.68019368887,14471904
2024-07-03,81343.5859375,81840.79612049206,80548.04964471271,81840.79612049206,11440328
2024-07-04,84127.96875,84227.41079343972,81940.24379432623,82437.45401152482,43857229
2024-07-05,86614.015625,86614.015625,84724.61689150402,85122.38504592422,45791193
2024-07-08,86912.34375,88105.64824084668,86415.13354548055,87409.55395451945,24035809
2024-07-09,87310.109375,87707.87752705012,86415.13103288725,87310.109375,21336201
2024-07-10,87310.109375,87508.99345102506,86614.01510891231,87111.22529897494,17813847
2024-07-11,87111.2265625,88304.5310359589,86216.24820740582,88006.20491759418,24677608
2024-07-12,83929.0859375,85619.60070164395,83630.75980265107,85420.71661174466,26344386
2024-07-15,86216.25,86812.90224913495,83630.75692041522,84227.40916955017,25193080
2024-07-16,87210.671875,87508.998004561,86216.25144313,86415.13552950398,16166688
2024-07-17,86216.25,87508.9965397924,85917.92387543253,86614.01816608997,18186490
2024-07-18,86415.1328125,86415.1328125,83332.42957062717,83332.42957062717,24721790
2024-07-19,83929.0859375,85619.60070164395,83630.75980265107,85122.39047689573,18569122
2024-07-22,82536.890625,84426.28932605422,82139.12247740963,83929.07914156627,18987560
